Description,Qty,Unit,Price,GST,GST AMT,Amount
"['BOMBAY', 'BIRYANI', '60G', 'SHAN']",12,PKT,1.05,FRE,0.00,12.60
"['FISH', 'SEASONNING', '50G', 'SHAN']",12,PKT,1.05,FRE,0.00,12.60
"['CHICKEN', 'CURRY', '50G', 'SHAN']",12,PKT,1.05,FRE,0.00,12.60
"['SEEKH', 'KEBAB', '50G', 'SHAN']",12,PKT,1.05,FRE,0.00,12.60
"['BEEF', 'BIRYANI', '60G', 'SHAN']",12,PKT,1.05,FRE,0.00,12.60
"['SINDHI', 'BIRYANI', '60G', 'SHAN']",12,PKT,1.05,FRE,0.00,12.60
"['KORMA', 'MIX', '50G', 'SHAN']",12,PKT,1.05,FRE,0.00,12.60
"['KEEMA', 'CURRY', '50G', 'SHAN']",12,PKT,1.05,FRE,0.00,12.60
"['TANDOORI', 'CHICKEN', '50G', 'SHAN']",12,PKT,1.05,FRE,0.00,12.60
"['TIKKA', 'BOTI', '50G', 'SHAN']",12,PKT,1.05,FRE,0.00,12.60
"['MUTTON', 'BIRYANI', '60G', 'SHAN']",12,PKT,1.05,FRE,0.00,12.60
"['CHICKEN', 'TIKKA', '50G', 'SHAN']",12,PKT,1.05,FRE,0.00,12.60
"['RICE', 'FLAKES', 'MEDIUM', '500G', 'UTTAM']",24,PKT,1.30,FRE,0.00,31.20
"['RICE', 'FLAKES', 'THICK', '500G', 'UTTAM']",24,PKT,1.30,FRE,0.00,31.20
"['RICE', 'FLAKES', 'THIN', '500G', 'UTTAM']",24,PKT,1.30,FRE,0.00,31.20
,,,,,,Total: $244.80
