Line,Product ID,Product Description,IND,Qty,UOM,Pack,Weight,GST%,Cost,Mrgn$,GST$,Total Cost ITEM,Total Val EXTENDED,Landed Unit Cost,SuggSell,GP%
,254798 KORBOND SAFETY PINS SILVR50PCE,,254798 KORBOND SAFETY PINS SILVR50PCE,1,CSE,10,.250  10.00,.250  10.00,8.50,,.250  10.00,9.82,9.82,.98,2.99,67.2
,291601 KORBOND STITCH RIPPER,,291601 KORBOND STITCH RIPPER,1,CSE,10,.080  10.00,.080  10.00,6.50,,.080  10.00,7.52,7.52,.75,2.49,69.8
,294528 KORBOND TAPE MEASURE,,294528 KORBOND TAPE MEASURE,1,CSE,10,.250  10.00,.250  10.00,7.50,,.250  10.00,8.67,8.67,.86,1.99,56.4
,266813 KORBOND CNDLE SPRL24+12HOLDERS,,266813 KORBOND CNDLE SPRL24+12HOLDERS,1,CSE,12,10.00,10.00,6.00,,10.00,6.95,6.95,.57,1.99,70.9
,715736 FABER CASTELL CONECTR PEN 10PK,,715736 FABER CASTELL CONECTR PEN 10PK,1,CSE,12,1.100  10.00,1.100  10.00,33.40,,1.100  10.00,38.43,38.43,3.20,6.59,51.4
,914741 BAZIC CLIPS BINDER 19MM 20PK,,914741 BAZIC CLIPS BINDER 19MM 20PK,1,CSE,12,,,,,,,,,,
,900349 BAZIC COMPASS W WOODEN PNCIL,,900349 BAZIC COMPASS W WOODEN PNCIL,1,CSE,12,,,,,,,,,,
,914767 BAZIC PINS PUSH ASST CLRS 100P,,914767 BAZIC PINS PUSH ASST CLRS 100P,1,CSE,24,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
